Name	Notes	Age	FakeAddresses	Hobbies
Vonda Jeffery		38	909 Ivy St. Cumberland, RI 02864	Collecting RPM Records
Felicia Spencer		23	523 W. Manor Station Lane Stratford, CT 06614	Skiing
Ally Gardener		45	205 Bay Meadows Street Asheville, NC 28803	Paintball
Donnie Page		44	773 Locust Dr. Saint Petersburg, FL 33702	Garage Saleing
Clement St John		27	7754 Orchard Road Rowlett, TX 75088	Relaxing
Reba Christians		18	762 Blackburn St. Hernando, MS 38632	Video Games
Lucinda Palmer		21	58 Bayberry Dr. Irwin, PA 15642	Snowboarding
Gray Summers		49	94 Augusta Ave. Berwyn, IL 60402	R/C Boats
Iona Travers		23	8237 Creekside Ave. Whitestone, NY 11357	Macrame
Megan Quincy		37	107 Pawnee Court Winston Salem, NC 27103	Digital Photography
Curt Newell		56	437 Rock Creek Ave. Evanston, IL 60201	Chess
Tristan Janson		59	41B Golf St. Mansfield, MA 02048	Collecting Swords
Nina Stroud		22	7 Cypress Ave. Cuyahoga Falls, OH 44221	Train Collecting
Garland Mondy		28	486 Oxford Dr. Merrick, NY 11566	Learning An Instrument
Maura Thomas		48	78 East Lyme Lane Huntington, NY 11743	World Record Breaking
Ernie Dannel		68	771 Courtland Drive New Milford, CT 06776	Drawing
Lettie Harper		28	98 S. Tailwater Road Mount Holly, NJ 08060	Urban Exploration
Samuel Outterridge		19	9612 Greystone Dr. Fairborn, OH 45324	Football
Malachi Cartwright		30	94 Wayne St. Cedar Falls, IA 50613	Warhammer
Rodney Britton		20	7474 Johnson Ave. Green Cove Springs, FL 32043	Inventing
Rube Abrahamson		38	549 Highland Road Lithonia, GA 30038	Crafts (unspecified)
Dom Rollins		19	1 Birch Hill Street Saint Albans, NY 11412	Locksport
Elwyn Peck		22	22 Kirkland Rd. Santa Clara, CA 95050	Car Racing
Audrey Cox		51	73 Beacon Dr. Tullahoma, TN 37388	Cartooning
Elwin Kevins		20	76 West School Street Indian Trail, NC 28079	Painting
Sally Elmerson		50	510 Temple Street Haines City, FL 33844	Cosplay
Lisha Wallace		20	5 East Manchester Drive Leominster, MA 01453	Slot Car Racing
Merv Reed		43	8717 Lyme Road Kaukauna, WI 54130	Reading To The Elderly
Philomena Wortham		26	695 East Edgewood Street New Haven, CT 06511	Frisbee Golf
Elyse Foss		23	64 N. 2nd St. Bemidji, MN 56601	Blacksmithing
Jarred Ryley		37	784 North Vale St. Vineland, NJ 08360	Knotting
Harriette Hewitt		66	41 Spruce Lane Glasgow, KY 42141	Diecast Collectibles
Theodora Mitchell		24	9411 Oklahoma Drive Columbus, GA 31904	Storytelling
Gorden Virgo		18	40 Prospect St. Elyria, OH 44035	Soccer
Rube Brooks		35	95 Helen St. King Of Prussia, PA 19406	World Record Breaking
Elias Dickinson		31	759 Windfall Ave. Palm Bay, FL 32907	Beadwork
Reed Wilson		45	701 E. Country Club Road Mount Laurel, NJ 08054	Belly Dancing
Zula Kellogg		18	560 Race St. Amarillo, TX 79106	Meditation
Albert Kemp		19	556 Brickell Court Crawfordsville, IN 47933	Church/church activities
Gale Spence		44	523 W. Manor Station Lane Stratford, CT 06614	Listening to music
Harris Fisher		45	763 Laurel Street Stevens Point, WI 54481	Rescuing Abused Or Abandoned Animals
Aurora Jackson		50	510 W. Shub Farm Rd. Tewksbury, MA 01876	Self Defense
Steve Fay		34	9612 Greystone Dr. Fairborn, OH 45324	Photography
Eveline Akerman		37	746 Jennings Dr. Murrells Inlet, SC 29576	Woodworking
Cullen Fabian		49	615 Forest Street Harrisburg, PA 17109	Knitting
Denny Derrick		37	63 Peg Shop St. San Carlos, CA 94070	Motorcycles
Alethea Dukeson		66	232 Pine St. Hamtramck, MI 48212	Hula Hooping
Nate Cokes		58	7526 South Swanson Rd. Helotes, TX 78023	Parachuting
Gene Alfson		16	763 Laurel Street Stevens Point, WI 54481	Locksport
Deana Varley		24	56 Wall St. Goose Creek, SC 29445	Knotting
Annis Lucas		38	304 South Winding Way Ave. Naugatuck, CT 06770	Coin Collecting
Emmy Summerfield		34	7342 Myers St. Cocoa, FL 32927	Rock Collecting
Casimir Norris		43	126 John Lane Langhorne, PA 19047	Arts
Edison Simmons		21	9686 Pearl Street Muskogee, OK 74403	Surfing
Joella Hancock		25	56 S. St Margarets St. Medina, OH 44256	Volunteer
Suzanna I'Anson		51	137 Leeton Ridge Avenue Trenton, NJ 08610	Falconry
Davey Ledford		27	7754 Orchard Road Rowlett, TX 75088	Jigsaw Puzzles
Jade Jacobs		32	807 West Squaw Creek St. Parsippany, NJ 07054	Reading To The Elderly
Wilmer Davison		18	88 Peg Shop Ave. Clover, SC 29710	Nail Art
Maynard Stacks		40	9532 Oakwood Street Bakersfield, CA 93306	Church/church activities
Daisy Statham		34	561 Saxon Ave. New Orleans, LA 70115	Locksport
Goldie Snider		27	457 Rockland St. Muskogee, OK 74403	Amateur Radio
Irvin Speight		35	71 East Nicolls Street Helena, MT 59601	Textiles
Durward Polley		20	510 W. Shub Farm Rd. Tewksbury, MA 01876	Model Railroading
Thomasina Watkins		18	9523 South Sleepy Hollow Dr. Romeoville, IL 60446	Working on cars
Shelton Savage		49	9445 Myers Dr. Glen Allen, VA 23059	Airsofting
Layton Braddock		69	39 Studebaker Lane Grove City, OH 43123	Collecting Antiques
Rhoda Hall		40	3 Argyle Road San Antonio, TX 78213	Beachcombing
Deb Dalton		67	9492 North Tarkiln Hill St. Ottumwa, IA 52501	Listening to music
Aline Pryor		21	21 S. South Lane Tucson, AZ 85718	Collecting RPM Records
Aric Beck		20	126 John Lane Langhorne, PA 19047	Building A House For Habitat For Humanity
Nelda Hooker		23	497 N. Prince Street Williamsburg, VA 23185	Swimming
Prudence Simons		65	315 S. Heritage St. Macon, GA 31204	Shopping
Nella Trevis		25	7935 Airport St. Jacksonville Beach, FL 32250	Button Collecting
Linton Linwood		38	4 Stillwater St. San Jose, CA 95127	Guitar
Gertie Stern		35	64 N. 2nd St. Bemidji, MN 56601	Internet
Deborah Bradford		40	597 Schoolhouse St. Wheaton, IL 60187	Acting
Desmond Sudworth		24	69 Blue Spring Dr. East Stroudsburg, PA 18301	Crafts (unspecified)
Delmar Nichols		33	23 North Oklahoma St. Butler, PA 16001	R/C Boats
Magdalene Knight		32	2 Lawrence Dr. Vicksburg, MS 39180	Nail Art
Ulysses Nye		67	8678 E. Squaw Creek St. Montgomery, AL 36109	Sleeping
Luke Hancock		49	559 Lake Forest Road Patchogue, NY 11772	Astrology
Sybil Attaway		38	896 N. Bear Hill Court Patchogue, NY 11772	Working on cars
Enola Coke		60	632 Taylor St. Lake In The Hills, IL 60156	Knotting
Rudolph Church		27	15 El Dorado St. Greenwood, SC 29646	Weather Watcher
Ellis Odell		23	7935 Airport St. Jacksonville Beach, FL 32250	Cartooning
Elvin Stroud		52	7204 Talbot Drive New Brunswick, NJ 08901	Working In A Food Pantry
Lynwood Ash		29	427 Richardson Street Iowa City, IA 52240	Violin
Lela Marchand		38	441 Essex St. Selden, NY 11784	Crossword Puzzles
Delbert Hayden		47	8015 Brook Ave. Appleton, WI 54911	Eating out
Lawrie Beasley		44	115 Cleveland St. Warwick, RI 02886	Educational Courses
Jackson Waters		22	615 Forest Street Harrisburg, PA 17109	Rafting
Cornell Ness		48	9330 Hill Field Street Hagerstown, MD 21740	Aircraft Spotting
Belle Black		24	462 Peg Shop Ave. Pickerington, OH 43147	Scuba Diving
Lorrie North		39	524 Wood Rd. Ozone Park, NY 11417	Urban Exploration
Ulysses Hollins		53	423 Birchpond Dr. Braintree, MA 02184	Tombstone Rubbing
Rod Woodhams		47	549 Highland Road Lithonia, GA 30038	Letterboxing
Katrina Kevins		21	309 Bishop Street Longview, TX 75604	Car Racing
Ronald Meadows		15	42 Vine Ave. Apopka, FL 32703	Iceskating
Haywood Tuft		16	763 Laurel Street Stevens Point, WI 54481	Horse riding
Dena Hudnall		33	28 Highland St. Morristown, NJ 07960	Tetris
Clay Jefferson		29	9612 East Brewery Street Goodlettsville, TN 37072	Internet
Chanel Willis		31	30 Queen Court Pueblo, CO 81001	Compose Music
Elmo Strange		19	7055 Lake Forest Ave. Augusta, GA 30906	Canoeing
Belinda Powers		51	510 Temple Street Haines City, FL 33844	Sleeping
Audley Miles		25	9378 Mayfield St. Media, PA 19063	Toy Collecting
Callahan Martell		31	23 North Oklahoma St. Butler, PA 16001	Tea Tasting
Norah Groves		19	8701 Fordham Drive Randallstown, MD 21133	Urban Exploration
Richelle Jordan		44	24 Broad St. West Fargo, ND 58078	Horse riding
Judith Bush		22	3 Foster Street East Elmhurst, NY 11369	Mountain Climbing
Kori Reid		34	447 3rd Avenue Woburn, MA 01801	Cake Decorating
Isadora Shine		34	523 W. Manor Station Lane Stratford, CT 06614	Soap Making
Jeanna Kevins		55	309 Indian Spring Drive Clifton Park, NY 12065	Ultimate Frisbee
Bettye Danell		41	8475 Devonshire Street Enterprise, AL 36330	People Watching
Jordon Newport		30	237 Birchwood St. Hopkins, MN 55343	Pinochle
Sibyl Dennel		53	517 NW. Randall Mill Ave. Meadville, PA 16335	Church/church activities
Valentine Cox		32	80 Glendale St. Council Bluffs, IA 51501	Bicycle Polo
Tad Skinner		50	597 Schoolhouse St. Wheaton, IL 60187	Cake Decorating
Marshall Bonney		55	7342 Myers St. Cocoa, FL 32927	Scuba Diving
Donna Atteberry		20	8758 Oxford Drive Boca Raton, FL 33428	Digital Photography
Ernie Davies		22	915 Birch Hill Ave. Sun City, AZ 85351	Train Spotting
Zoë Loman		51	331 Holly Ave. Defiance, OH 43512	Saltwater Aquariums
Jacob Whinery		39	771 Courtland Drive New Milford, CT 06776	Ultimate Frisbee
Chrissie Frye		27	8762 West Homewood Rd. Wheeling, WV 26003	Making Model Cars
Debra Purcell		35	733 North Strawberry Ave. Jackson, NJ 08527	Beach/Sun tanning
Quinten Baines		65	516 E. Charles St. Eden Prairie, MN 55347	Eating out
Rickey Jephson		65	9924 Shady St. Fresh Meadows, NY 11365	Hot air ballooning
Cammie Thompsett		43	82 Water Ave. Wethersfield, CT 06109	Pyrotechnics
Irma Haight		28	7525 Courtland Street Acworth, GA 30101	Football
Bertram Nixon		47	875 Sunset Street Irmo, SC 29063	Self Defense
Simone Edwardson		26	22 Kirkland Rd. Santa Clara, CA 95050	Aircraft Spotting
Marvin Snyder		34	876 Victoria Ave. Fort Washington, MD 20744	Embroidery
Luana Queen		34	7271 Paris Hill Drive Cranberry Twp, PA 16066	Collecting Swords
Trisha Cotterill		60	443 Riverside Ave. Derry, NH 03038	Educational Courses
Isaiah Hooper		30	597 Schoolhouse St. Wheaton, IL 60187	Amateur Radio
Regan Sudworth		48	9017 Lower River St. Solon, OH 44139	Storytelling
Page Ford		26	7 Lakewood Street Clearwater, FL 33756	Skateboarding
Lambert Fairburn		28	568 Meadowbrook Dr. Brooklyn, NY 11201	Skateboarding
Beau Benbow		43	9556 S. Hilltop St. Lake Mary, FL 32746	Astrology
Jimmy Porcher		34	8017 NW. Victoria Ave. Lilburn, GA 30047	Bicycle Polo
Bernard Rennoll		46	5 East Manchester Drive Leominster, MA 01453	Working on cars
Gus Atterberry		58	7881 Fairview Ave. Enterprise, AL 36330	Reading
Clifton Blackman		24	4 Summerhouse Ave. Lake Zurich, IL 60047	Swimming
Constance Sherburne		68	288 Glen Ridge Dr. Shelbyville, TN 37160	Magic
Sheree Merrickson		47	597 Schoolhouse St. Wheaton, IL 60187	Slack Lining
Robby Royston		23	7754 Orchard Road Rowlett, TX 75088	Traveling
Alyson Dyer		23	7525 Courtland Street Acworth, GA 30101	Amateur Radio
Patti Ross		20	30 Hillside Rd. Gloucester, MA 01930	Bell Ringing
Scotty Christianson		40	9765 Ridgeview Dr. Rochester, NY 14606	String Figures
Maximillian Allard		52	16 Lyme Avenue Delray Beach, FL 33445	Jewelry Making
Jarrett Stainthorpe		34	36 Proctor St. Pottstown, PA 19464	Toy Collecting
Mikki Pressley		35	216 East Smith Store St. Middletown, CT 06457	Airbrushing
Victor Maddison		34	437 Rock Creek Ave. Evanston, IL 60201	Basketball
Pamella Fear		33	21 S. South Lane Tucson, AZ 85718	Boomerangs
Ely Osborne		33	323 Ketch Harbour St. Moses Lake, WA 98837	Amateur Radio
Irvine Brewer		28	8 North Second Ave. Myrtle Beach, SC 29577	Church/church activities
Marsha Herbert		14	639 Cedar Ave. Lawndale, CA 90260	Embroidery
Margaret Appleby		26	9765 Ridgeview Dr. Rochester, NY 14606	Bicycling
Newt Arterbury		55	6 Howard Drive Galloway, OH 43119	Socializing with friends/neighbors
Ann Burns		68	245 Rosewood Lane Powder Springs, GA 30127	Internet
Kenton Leach		37	140 Gonzales Circle Far Rockaway, NY 11691	Cave Diving
Ernestine Collins		26	7667 Lyme Ave. Cottage Grove, MN 55016	Pottery
Rick Hawkins		23	79 Mechanic Street Essex, MD 21221	Renting movies
Candi Traylor		34	15 W. Sunbeam Ave. Uniondale, NY 11553	Texting
Fern Ready		53	37 West Mill Pond Drive Manchester, NH 03102	Cloud Watching
Neal Pressley		38	8481 Morris Dr. Hilliard, OH 43026	Eating out
Robert Strickland		63	559 Lake Forest Road Patchogue, NY 11772	Macrame
Zeph Bartram		19	9218 University Rd. Portland, ME 04103	Conworlding
Russel Hall		36	9805 Carpenter Drive Kalamazoo, MI 49009	Inventing
Montgomery Morris		63	7935 Airport St. Jacksonville Beach, FL 32250	Chess
Webster Johnson		19	9765 Ridgeview Dr. Rochester, NY 14606	Ceramics
Arn Sniders		26	98 S. Tailwater Road Mount Holly, NJ 08060	Pottery
Sampson Badcoke		22	82 Bridle Road Sacramento, CA 95820	Metal Detecting
Harding Yoxall		40	63 S. Woodside Ave. Circle Pines, MN 55014	Candle Making
Faron Ainsworth		44	7370 Rockcrest Drive Old Bridge, NJ 08857	Bonsai Tree
Rena Derricks		30	61 SE. Queen Dr. Upland, CA 91784	Taxidermy
Nichole Steed		69	288 Glen Ridge Dr. Shelbyville, TN 37160	Sky Diving
Merry House		37	423 Birchpond Dr. Braintree, MA 02184	Painting
Marci Mason		39	9330 Hill Field Street Hagerstown, MD 21740	Train Collecting
Fred Sergeant		64	77 Brookside Drive Glen Cove, NY 11542	Sleeping
Cornelia Neville		55	510 W. Shub Farm Rd. Tewksbury, MA 01876	Mountain Climbing
Debbi Cartwright		19	486 West St. Brookfield, WI 53045	Robotics
Posy Samuel		47	59 William Court Barrington, IL 60010	Snowboarding
Vin Anderson		19	8177 Hill Field St. Powhatan, VA 23139	Collecting Artwork
Aric Nigel		27	23 North Oklahoma St. Butler, PA 16001	Boating
Victor Loman		16	8093 Nut Swamp Lane Wisconsin Rapids, WI 54494	Relaxing
Joe Cookson		41	222 Roosevelt Street Saint Johns, FL 32259	String Figures
Alanna Tate		19	4 Stillwater St. San Jose, CA 95127	Jump Roping
Randolf Shakesheave		48	37 Miles Street Huntley, IL 60142	Snorkeling
Oneida Swindlehurst		33	7290 Liberty Circle Lake Villa, IL 60046	Making Model Cars
Estella Hewitt		36	5 Dogwood Road Hopewell, VA 23860	Modeling Ships
Benjamin Cowden		50	497 N. Prince Street Williamsburg, VA 23185	Acting
York Breckenridge		18	7284 N. Newbridge Court New Berlin, WI 53151	Relaxing
Wilton Danell		42	9411 Oklahoma Drive Columbus, GA 31904	Volunteer
Judie Masterson		39	9523 South Sleepy Hollow Dr. Romeoville, IL 60446	Painting
Louisa White		16	993 Carpenter Dr. Saint Petersburg, FL 33702	Archery
Randell Hayden		18	8560 Sussex Ave. Pawtucket, RI 02860	Bridge Building
Willa Stroud		68	8237 Creekside Ave. Whitestone, NY 11357	Jet Engines
Destiny Denman		24	76 Hilldale Street Duluth, GA 30096	Hiking
Sunday Blythe		21	486 West St. Brookfield, WI 53045	Metal Detecting
Delphia Olhouser		47	597 Schoolhouse St. Wheaton, IL 60187	Beadwork
Simon Milburn		22	8560 Sussex Ave. Pawtucket, RI 02860	Slingshots
Twila Rey		34	29 Clay Lane Harrisonburg, VA 22801	BoardGames
Valorie Verity		27	8987 Liberty Lane Mount Vernon, NY 10550	Writing Songs
Hatty Dennel		33	478 S. Lakewood Road Manitowoc, WI 54220	Educational Courses
Egbert Bagley		24	477 Ivy Drive Perkasie, PA 18944	Taxidermy
Tammie Peterson		54	8932 Lancaster St. Shelton, CT 06484	Writing Music
Kenyon Keegan		27	74 Peg Shop Circle Akron, OH 44312	Jet Engines
Tracee Ridley		21	9704 South Birch Hill Rd. East Haven, CT 06512	Warhammer
Jenifer Ecclestone		26	353 1st St. Seattle, WA 98144	Collecting Artwork
Sherri Harden		48	237 Birchwood St. Hopkins, MN 55343	Kite Boarding
Ford Carlyle		66	569 Division St. Hixson, TN 37343	Working In A Food Pantry
Zak Bartram		21	8237 Creekside Ave. Whitestone, NY 11357	Illusion
Joni Parsons		29	16 Lyme Avenue Delray Beach, FL 33445	Kite Boarding
Jerrod Johnson		23	7966 West Ketch Harbour St. Kingston, NY 12401	Beatboxing
Chasity Blythe		25	31 Water Street Montclair, NJ 07042	Self Defense
Nita Breckenridge		21	4 East Tailwater Lane Addison, IL 60101	Becoming A Child Advocate
Dolph Hudnall		42	517 NW. Randall Mill Ave. Meadville, PA 16335	Dominoes
Willis Spears		31	411 New Dr. Rosemount, MN 55068	YoYo
Trace Traver		26	909 Ivy St. Cumberland, RI 02864	Bringing Food To The Disabled
Tamara Cross		14	561 Saxon Ave. New Orleans, LA 70115	Juggling
Maryanne Knight		61	45 E. Hanover Street Valley Stream, NY 11580	Piano
Alvin Tanner		18	322 West Roberts Street La Porte, IN 46350	BoardGames
Idella Stroud		65	64 Bellevue Ave. Port Richey, FL 34668	Learning An Instrument
Elvin Samuel		21	413 Columbia Dr. Clinton Township, MI 48035	Sand Castles
Dwight Henryson		20	7764 Beacon Rd. Minot, ND 58701	Magic
Janey Crouch		40	7525 Courtland Street Acworth, GA 30101	Taxidermy
Alf Underhill		22	88 Monroe Court Casselberry, FL 32707	Treasure Hunting
Keely Styles		61	82 Bridle Road Sacramento, CA 95820	Photography
Zachary Whinery		36	70 Military St. Chester, PA 19013	Macrame
Lucky Hart		64	478 S. Lakewood Road Manitowoc, WI 54220	Surf Fishing
Scarlett Womack		34	3 Foster Street East Elmhurst, NY 11369	World Record Breaking
Amelia Boon		57	7 Windfall Lane Royal Oak, MI 48067	Storm Chasing
Percy Berry		54	8481 Morris Dr. Hilliard, OH 43026	Racing Pigeons
Frank Bunker		34	7593 Berkshire St. Yakima, WA 98908	Meditation
Nigel Knaggs		35	7111 Sunnyslope Ave. Bowling Green, KY 42101	Skeet Shooting
Elijah Michaelson		28	117 Manchester St. Wakefield, MA 01880	Bicycle Polo
Lana Bennet		20	8715 Livingston Lane Hightstown, NJ 08520	Rapping
Garrick Young		43	9445 Myers Dr. Glen Allen, VA 23059	Genealogy
Cecilia Hudson		31	467 Cherry Street Framingham, MA 01701	Chess
Rowland Mills		50	34 Heather Lane Dyersburg, TN 38024	Handwriting Analysis
Millie Hambledon		26	549 Highland Road Lithonia, GA 30038	Tesla Coils
Arvel Snider		40	622 Aspen Avenue Vicksburg, MS 39180	Treasure Hunting
Morton Vaughn		16	15 W. Sunbeam Ave. Uniondale, NY 11553	Spending time with family/kids
Cherie Eccleston		28	8781 Beach Lane Circle Pines, MN 55014	Crocheting
Neal Horsfall		42	516 E. Charles St. Eden Prairie, MN 55347	Home Repair
Shauna Scriven		39	29 South Sycamore Lane Holland, MI 49423	Traveling
Sherman Trent		37	27 Wild Rose Lane Belmont, MA 02478	Shopping
Stella Wallis		44	9243 Brookside Drive Downers Grove, IL 60515	Working In A Food Pantry
Cal Warren		44	22 Olive Court Merrick, NY 11566	Racing Pigeons
Katie Ford		41	404 Belmont Street Glen Burnie, MD 21060	Beatboxing
Clotilda Scrivener		54	44 South Beacon St. Garner, NC 27529	Horse riding
Kay White		41	771 Courtland Drive New Milford, CT 06776	Keep A Journal
Marnie Tobias		44	7935 Airport St. Jacksonville Beach, FL 32250	Kitchen Chemistry
Ella Traiylor		58	89 Van Dyke Drive Lansdale, PA 19446	Motorcycles
Racquel Stack		17	24 Broad St. West Fargo, ND 58078	Reading
Corrine Bates		43	7241 W. Foster Road Bensalem, PA 19020	Musical Instruments
Ross Washington		21	8701 Fordham Drive Randallstown, MD 21133	Four Wheeling
Lawrie Way		18	729 Elm St. North Royalton, OH 44133	Becoming A Child Advocate
Suzanne Sherman		46	8237 Creekside Ave. Whitestone, NY 11357	Boating
Cheryl Addison		50	322 West Roberts Street La Porte, IN 46350	Aquarium (Freshwater & Saltwater)
Loretta Snyder		62	909 Ivy St. Cumberland, RI 02864	Tutoring Children
Conor Sniders		18	7211 East Highland Ave. East Meadow, NY 11554	Hunting
Lisette Waterman		22	7284 N. Newbridge Court New Berlin, WI 53151	Making Model Cars
Harriett Fabian		44	4 East Hall Lane Dyersburg, TN 38024	Train Collecting
Lambert Badcoke		34	7572 Race Street Birmingham, AL 35209	Quilting
Cole Reeve		45	542 East Bridle Street Sanford, NC 27330	Exercise (aerobics, weights)
Lola Rayne		41	94 Wayne St. Cedar Falls, IA 50613	Kayaking
Bennie Donaldson		23	635 Wrangler St. Harrisburg, PA 17109	String Figures
Maya Mounce		33	36 53rd St. Germantown, MD 20874	Bringing Food To The Disabled
Yancy Hill		55	13 Theatre St. Strongsville, OH 44136	Ultimate Frisbee
Elwood Badcock		35	8571 Miles Road Lake Mary, FL 32746	Tennis
Rosalyn Eaton		17	15 El Dorado St. Greenwood, SC 29646	Scrapbooking
Lucas Ethans		53	814 Helen St. Euless, TX 76039	Dodgeball
Carolyn Rigby		23	433 East Courtland Lane Trussville, AL 35173	Hula Hooping
Garfield Queshire		55	41B Golf St. Mansfield, MA 02048	Illusion
Dom Morris		27	20 Harvard St. Cumming, GA 30040	Bicycle Polo
Jayne Atterberry		41	7271 Paris Hill Drive Cranberry Twp, PA 16066	Sand Castles
Charity Fleming		61	83 Lake Forest Lane New York, NY 10002	Going to movies
Jodi Usage		19	45 E. Hanover Street Valley Stream, NY 11580	Home Repair
Renita Nathans		51	45 South Briarwood Ave. Flemington, NJ 08822	Handwriting Analysis
Valarie Lukeson		53	8873 Newport St. Raleigh, NC 27603	Bicycle Polo
Tex Wilkerson		50	65 Brickell Road North Royalton, OH 44133	Tombstone Rubbing
Kathie Coleman		63	61 SE. Queen Dr. Upland, CA 91784	Scuba Diving
Tobin Seymour		39	9760 Glendale Ave. Macungie, PA 18062	Genealogy
Lonnie Batts		21	55 West Golf Ave. Nottingham, MD 21236	Butterfly Watching
Agnes Dennell		33	7593 Berkshire St. Yakima, WA 98908	Boomerangs
Antonia Thorne		46	323 Ketch Harbour St. Moses Lake, WA 98837	Guitar
Kristi Eustis		27	466 Gulf Avenue Far Rockaway, NY 11691	Singing In Choir
Wright Ready		38	380 N. Wayne Avenue Jersey City, NJ 07302	Fast cars
Lucille Lowry		32	178 S. Del Monte Street Grand Forks, ND 58201	Body Building
Sean Stephenson		47	7610 Rock Maple Drive Toledo, OH 43612	Weather Watcher
Paula Suggitt		22	6 Cardinal St. Glasgow, KY 42141	Floorball
Moses Tinker		43	8971 Windsor Rd. Depew, NY 14043	Home Theater
Nettie Green		40	288 Glen Ridge Dr. Shelbyville, TN 37160	Mountain Climbing
Joanie Kay		17	8723 Tailwater Street Riverside, NJ 08075	Darts
Lowell Honeysett		19	447 Inverness Ave. Ada, OK 74820	Golf
Esmeralda Reynolds		47	4 Stillwater St. San Jose, CA 95127	Martial Arts
Sissy Burke		31	9556 S. Hilltop St. Lake Mary, FL 32746	Making Model Cars
Merritt Emerson		51	98 Rockaway Dr. West Orange, NJ 07052	Games
Jarrett Northrop		44	34 Heather Lane Dyersburg, TN 38024	Renaissance Faire
Louie Teel		38	124 Rockledge Ave. East Stroudsburg, PA 18301	Textiles
Shelia Jarvis		17	7 Lakewood Street Clearwater, FL 33756	Beachcombing
Hoyt Cropper		40	915 Birch Hill Ave. Sun City, AZ 85351	Drawing
